id,name,common_name,supercategory,kingdom,phylum,class,order,family,genus,specific_epithet,image_dir_name
465,Eristalinus taeniops,Band-eyed Drone Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalinus,taeniops,00465_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Eristalinus_taeniops
466,Eristalis arbustorum,European Drone Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,arbustorum,00466_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Eristalis_arbustorum
467,Eristalis dimidiata,Black-shouldered Drone Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,dimidiata,00467_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Eristalis_dimidiata
468,Eristalis flavipes,Orange-legged Drone Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,flavipes,00468_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Eristalis_flavipes
469,Eristalis pertinax,Tapered Drone Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,pertinax,00469_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Eristalis_pertinax
470,Eristalis stipator,Yellow-shouldered Drone Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,stipator,00470_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Eristalis_stipator
471,Eristalis tenax,European Hoverfly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,tenax,00471_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Eristalis_tenax
472,Eristalis transversa,Transverse-banded Flower Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,transversa,00472_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Eristalis_transversa
473,Eupeodes corollae,Migrant Hover Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eupeodes,corollae,00473_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Eupeodes_corollae
474,Eupeodes volucris,Bird Hover Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eupeodes,volucris,00474_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Eupeodes_volucris
475,Helophilus fasciatus,Narrow-headed Marsh Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Helophilus,fasciatus,00475_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Helophilus_fasciatus
476,Helophilus pendulus,Dangling Swamp-lover,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Helophilus,pendulus,00476_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Helophilus_pendulus
477,Helophilus trivittatus,Trivittate Sunfly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Helophilus,trivittatus,00477_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Helophilus_trivittatus
478,Melangyna novaezelandiae,Large Hover Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Melangyna,novaezelandiae,00478_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Melangyna_novaezelandiae
479,Merodon equestris,Narcissus Bulb Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Merodon,equestris,00479_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Merodon_equestris
480,Milesia virginiensis,Virginia Flower Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Milesia,virginiensis,00480_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Milesia_virginiensis
481,Myathropa florea,Yellow-haired Sunfly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Myathropa,florea,00481_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Myathropa_florea
482,Ocyptamus fuscipennis,Dusky-winged Hover Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Ocyptamus,fuscipennis,00482_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Ocyptamus_fuscipennis
483,Palpada vinetorum,Northern Plushback,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Palpada,vinetorum,00483_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Palpada_vinetorum
484,Paragus haemorrhous,Black-backed Grass Skimmer,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Paragus,haemorrhous,00484_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Paragus_haemorrhous
485,Scaeva affinis,White-bowed Smoothwing,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Scaeva,affinis,00485_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Scaeva_affinis
486,Scaeva pyrastri,Pied Hover Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Scaeva,pyrastri,00486_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Scaeva_pyrastri
487,Sphaerophoria scripta,Long Hover Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Sphaerophoria,scripta,00487_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Sphaerophoria_scripta
488,Spilomyia longicornis,Eastern Hornet Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Spilomyia,longicornis,00488_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Spilomyia_longicornis
489,Syritta pipiens,Thick-legged Hoverfly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Syritta,pipiens,00489_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Syritta_pipiens
490,Toxomerus geminatus,Eastern Calligrapher,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Toxomerus,geminatus,00490_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Toxomerus_geminatus
491,Toxomerus marginatus,Margined Calligrapher Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Toxomerus,marginatus,00491_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Toxomerus_marginatus
492,Toxomerus occidentalis,Western Calligrapher,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Toxomerus,occidentalis,00492_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Toxomerus_occidentalis
493,Toxomerus politus,Maize Calligrapher Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Toxomerus,politus,00493_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Toxomerus_politus
494,Volucella bombylans,Bumblebee Hoverfly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Volucella,bombylans,00494_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Volucella_bombylans
495,Volucella inanis,Lesser Hornet Hoverfly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Volucella,inanis,00495_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Volucella_inanis
496,Volucella pellucens,Pellucid Hover Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Volucella,pellucens,00496_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Volucella_pellucens
497,Volucella zonaria,Hornet Mimic Hover Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Volucella,zonaria,00497_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Volucella_zonaria
498,Tabanus atratus,Black Horsefly,Insects,Animalia,Arthropoda,Insecta,Diptera,Tabanidae,Tabanus,atratus,00498_Animalia_Arthropoda_Insecta_Diptera_Tabanidae_Tabanus_atratus
499,Hystricia abrupta,Tomato Bristle Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Tachinidae,Hystricia,abrupta,00499_Animalia_Arthropoda_Insecta_Diptera_Tachinidae_Hystricia_abrupta
500,Tachina fera,Tachina fera,Insects,Animalia,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,fera,00500_Animalia_Arthropoda_Insecta_Diptera_Tachinidae_Tachina_fera
501,Trichopoda pennipes,Swift Feather-legged Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Tachinidae,Trichopoda,pennipes,00501_Animalia_Arthropoda_Insecta_Diptera_Tachinidae_Trichopoda_pennipes
502,Trigonospila brevifacies,Australian Leafroller Tachinid,Insects,Animalia,Arthropoda,Insecta,Diptera,Tachinidae,Trigonospila,brevifacies,00502_Animalia_Arthropoda_Insecta_Diptera_Tachinidae_Trigonospila_brevifacies
503,Eurosta solidaginis,Goldenrod Gall Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Eurosta,solidaginis,00503_Animalia_Arthropoda_Insecta_Diptera_Tephritidae_Eurosta_solidaginis
504,Tipula abdominalis,Giant Crane Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,abdominalis,00504_Animalia_Arthropoda_Insecta_Diptera_Tipulidae_Tipula_abdominalis
505,Delphinia picta,Common Picture-winged Fly,Insects,Animalia,Arthropoda,Insecta,Diptera,Ulidiidae,Delphinia,picta,00505_Animalia_Arthropoda_Insecta_Diptera_Ulidiidae_Delphinia_picta
506,Hexagenia limbata,Giant Mayfly,Insects,Animalia,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,Hexagenia,limbata,00506_Animalia_Arthropoda_Insecta_Ephemeroptera_Ephemeridae_Hexagenia_limbata
507,Acanalonia bivittata,Two-striped Planthopper,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Acanaloniidae,Acanalonia,bivittata,00507_Animalia_Arthropoda_Insecta_Hemiptera_Acanaloniidae_Acanalonia_bivittata
508,Acanalonia conica,Green Cone-headed Planthopper,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Acanaloniidae,Acanalonia,conica,00508_Animalia_Arthropoda_Insecta_Hemiptera_Acanaloniidae_Acanalonia_conica
509,Acanthosoma haemorrhoidale,Hawthorn Shield Bug,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Acanthosomatidae,Acanthosoma,haemorrhoidale,00509_Animalia_Arthropoda_Insecta_Hemiptera_Acanthosomatidae_Acanthosoma_haemorrhoidale
510,Elasmostethus cruciatus,Red-cross Shield Bug,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Acanthosomatidae,Elasmostethus,cruciatus,00510_Animalia_Arthropoda_Insecta_Hemiptera_Acanthosomatidae_Elasmostethus_cruciatus
511,Elasmostethus interstinctus,Birch Shield Bug,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Acanthosomatidae,Elasmostethus,interstinctus,00511_Animalia_Arthropoda_Insecta_Hemiptera_Acanthosomatidae_Elasmostethus_interstinctus
512,Elasmucha grisea,Parent Bug,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Acanthosomatidae,Elasmucha,grisea,00512_Animalia_Arthropoda_Insecta_Hemiptera_Acanthosomatidae_Elasmucha_grisea
513,Adelges tsugae,Hemlock Woolly Adelgid,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Adelgidae,Adelges,tsugae,00513_Animalia_Arthropoda_Insecta_Hemiptera_Adelgidae_Adelges_tsugae
514,Hyalymenus tarsatus,Texas Bow-legged Bug,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Alydidae,Hyalymenus,tarsatus,00514_Animalia_Arthropoda_Insecta_Hemiptera_Alydidae_Hyalymenus_tarsatus
515,Riptortus pedestris,Riptortus pedestris,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Alydidae,Riptortus,pedestris,00515_Animalia_Arthropoda_Insecta_Hemiptera_Alydidae_Riptortus_pedestris
516,Glycaspis brimblecombei,Red Gum Lerp Psyllid,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Aphalaridae,Glycaspis,brimblecombei,00516_Animalia_Arthropoda_Insecta_Hemiptera_Aphalaridae_Glycaspis_brimblecombei
517,Pachypsylla celtidismamma,Hackberry Nipple Gall,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Aphalaridae,Pachypsylla,celtidismamma,00517_Animalia_Arthropoda_Insecta_Hemiptera_Aphalaridae_Pachypsylla_celtidismamma
518,Pachypsylla venusta,Hackberry Petiole Gall Psyllid,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Aphalaridae,Pachypsylla,venusta,00518_Animalia_Arthropoda_Insecta_Hemiptera_Aphalaridae_Pachypsylla_venusta
519,Aphis nerii,Milkweed Aphid,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,nerii,00519_Animalia_Arthropoda_Insecta_Hemiptera_Aphididae_Aphis_nerii
520,Hormaphis hamamelidis,Witch-hazel Cone Gall Aphid,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Hormaphis,hamamelidis,00520_Animalia_Arthropoda_Insecta_Hemiptera_Aphididae_Hormaphis_hamamelidis
521,Melaphis rhois,Sumac Gall Aphid,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Melaphis,rhois,00521_Animalia_Arthropoda_Insecta_Hemiptera_Aphididae_Melaphis_rhois
522,Tuberolachnus salignus,Giant Willow Aphid,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Tuberolachnus,salignus,00522_Animalia_Arthropoda_Insecta_Hemiptera_Aphididae_Tuberolachnus_salignus
523,Philaenus spumarius,Meadow spittlebug,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Aphrophoridae,Philaenus,spumarius,00523_Animalia_Arthropoda_Insecta_Hemiptera_Aphrophoridae_Philaenus_spumarius
524,Lethocerus americanus,American Giant Water Bug,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Belostomatidae,Lethocerus,americanus,00524_Animalia_Arthropoda_Insecta_Hemiptera_Belostomatidae_Lethocerus_americanus
525,Cercopis vulnerata,Common Froghopper,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,Cercopis,vulnerata,00525_Animalia_Arthropoda_Insecta_Hemiptera_Cercopidae_Cercopis_vulnerata
526,Prosapia bicincta,Two-lined Spittlebug,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,Prosapia,bicincta,00526_Animalia_Arthropoda_Insecta_Hemiptera_Cercopidae_Prosapia_bicincta
527,Cicadella viridis,Green Leafhopper,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Cicadella,viridis,00527_Animalia_Arthropoda_Insecta_Hemiptera_Cicadellidae_Cicadella_viridis
528,Colladonus clitellarius,Saddled Leafhopper,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Colladonus,clitellarius,00528_Animalia_Arthropoda_Insecta_Hemiptera_Cicadellidae_Colladonus_clitellarius
529,Cuerna costalis,Lateral-lined Sharpshooter,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Cuerna,costalis,00529_Animalia_Arthropoda_Insecta_Hemiptera_Cicadellidae_Cuerna_costalis
530,Excultanus excultus,Excultanus excultus,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Excultanus,excultus,00530_Animalia_Arthropoda_Insecta_Hemiptera_Cicadellidae_Excultanus_excultus
531,Graphocephala atropunctata,Blue-green Sharpshooter,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Graphocephala,atropunctata,00531_Animalia_Arthropoda_Insecta_Hemiptera_Cicadellidae_Graphocephala_atropunctata
532,Graphocephala coccinea,Red-banded Leafhopper,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Graphocephala,coccinea,00532_Animalia_Arthropoda_Insecta_Hemiptera_Cicadellidae_Graphocephala_coccinea
533,Graphocephala fennahi,Rhododendron Leafhopper,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Graphocephala,fennahi,00533_Animalia_Arthropoda_Insecta_Hemiptera_Cicadellidae_Graphocephala_fennahi
534,Graphocephala versuta,Versute Sharpshooter,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Graphocephala,versuta,00534_Animalia_Arthropoda_Insecta_Hemiptera_Cicadellidae_Graphocephala_versuta
535,Homalodisca vitripennis,Glassy-winged Sharpshooter,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Homalodisca,vitripennis,00535_Animalia_Arthropoda_Insecta_Hemiptera_Cicadellidae_Homalodisca_vitripennis
536,Jikradia olitoria,Coppery Leafhopper,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Jikradia,olitoria,00536_Animalia_Arthropoda_Insecta_Hemiptera_Cicadellidae_Jikradia_olitoria
537,Oncometopia orbona,Broad-headed Sharpshooter,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Oncometopia,orbona,00537_Animalia_Arthropoda_Insecta_Hemiptera_Cicadellidae_Oncometopia_orbona
538,Orientus ishidae,Japanese Leafhopper,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Orientus,ishidae,00538_Animalia_Arthropoda_Insecta_Hemiptera_Cicadellidae_Orientus_ishidae
539,Paraulacizes irrorata,Speckled Sharpshooter,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Paraulacizes,irrorata,00539_Animalia_Arthropoda_Insecta_Hemiptera_Cicadellidae_Paraulacizes_irrorata
540,Tylozygus bifidus,Tylozygus bifidus,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Tylozygus,bifidus,00540_Animalia_Arthropoda_Insecta_Hemiptera_Cicadellidae_Tylozygus_bifidus
541,Amphipsalta zelandica,Chorus Cicada,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Amphipsalta,zelandica,00541_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Amphipsalta_zelandica
542,Cicada orni,Ash Cicada,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Cicada,orni,00542_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Cicada_orni
543,Cyclochila australasiae,Green Grocer,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Cyclochila,australasiae,00543_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Cyclochila_australasiae
544,Graptopsaltria nigrofuscata,Large Brown Cicada,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Graptopsaltria,nigrofuscata,00544_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Graptopsaltria_nigrofuscata
545,Magicicada septendecim,Pharaoh Cicada,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Magicicada,septendecim,00545_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Magicicada_septendecim
546,Megatibicen auletes,Northern Dusk Singing Cicada,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Megatibicen,auletes,00546_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Megatibicen_auletes
547,Megatibicen dealbatus,Plains Cicada,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Megatibicen,dealbatus,00547_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Megatibicen_dealbatus
548,Megatibicen resh,Western Dusk Singing Cicada,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Megatibicen,resh,00548_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Megatibicen_resh
549,Neotibicen canicularis,Northern Dog-day Cicada,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Neotibicen,canicularis,00549_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Neotibicen_canicularis
550,Neotibicen lyricen,Lyric Cicada,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Neotibicen,lyricen,00550_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Neotibicen_lyricen
551,Neotibicen pruinosus,Scissors Grinder Cicada,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Neotibicen,pruinosus,00551_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Neotibicen_pruinosus
552,Neotibicen superbus,Superb Dog-day Cicada,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Neotibicen,superbus,00552_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Neotibicen_superbus
553,Neotibicen tibicen,Swamp Cicada,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Neotibicen,tibicen,00553_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Neotibicen_tibicen
554,Pacarina puella,Little mesquite cicada,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Pacarina,puella,00554_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Pacarina_puella
555,Psaltoda plaga,Black Prince,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Psaltoda,plaga,00555_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Psaltoda_plaga
556,Acanthocephala alata,Acanthocephala alata,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Acanthocephala,alata,00556_Animalia_Arthropoda_Insecta_Hemiptera_Coreidae_Acanthocephala_alata
557,Acanthocephala declivis,Giant Leaf-footed Bug,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Acanthocephala,declivis,00557_Animalia_Arthropoda_Insecta_Hemiptera_Coreidae_Acanthocephala_declivis
558,Acanthocephala femorata,Florida Leaf-footed Bug,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Acanthocephala,femorata,00558_Animalia_Arthropoda_Insecta_Hemiptera_Coreidae_Acanthocephala_femorata
559,Acanthocephala terminalis,Acanthocephala terminalis,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Acanthocephala,terminalis,00559_Animalia_Arthropoda_Insecta_Hemiptera_Coreidae_Acanthocephala_terminalis
560,Anasa tristis,Squash Bug,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Anasa,tristis,00560_Animalia_Arthropoda_Insecta_Hemiptera_Coreidae_Anasa_tristis
561,Chelinidea vittiger,Chelinidea vittiger,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Chelinidea,vittiger,00561_Animalia_Arthropoda_Insecta_Hemiptera_Coreidae_Chelinidea_vittiger
562,Coreus marginatus,Dock Bug,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Coreus,marginatus,00562_Animalia_Arthropoda_Insecta_Hemiptera_Coreidae_Coreus_marginatus
563,Euthochtha galeator,Helmeted Squash Bug,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Euthochtha,galeator,00563_Animalia_Arthropoda_Insecta_Hemiptera_Coreidae_Euthochtha_galeator
564,Gonocerus acuteangulatus,Box Bug,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Gonocerus,acuteangulatus,00564_Animalia_Arthropoda_Insecta_Hemiptera_Coreidae_Gonocerus_acuteangulatus
565,Hypselonotus interruptus,Hypselonotus interruptus,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Hypselonotus,interruptus,00565_Animalia_Arthropoda_Insecta_Hemiptera_Coreidae_Hypselonotus_interruptus
566,Hypselonotus punctiventris,Spot-sided Coreid,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Hypselonotus,punctiventris,00566_Animalia_Arthropoda_Insecta_Hemiptera_Coreidae_Hypselonotus_punctiventris
567,Leptoglossus clypealis,Western Leaf-footed Bug,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Leptoglossus,clypealis,00567_Animalia_Arthropoda_Insecta_Hemiptera_Coreidae_Leptoglossus_clypealis
568,Leptoglossus occidentalis,Western Conifer Seed Bug,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Leptoglossus,occidentalis,00568_Animalia_Arthropoda_Insecta_Hemiptera_Coreidae_Leptoglossus_occidentalis
569,Leptoglossus oppositus,Leptoglossus oppositus,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Leptoglossus,oppositus,00569_Animalia_Arthropoda_Insecta_Hemiptera_Coreidae_Leptoglossus_oppositus
570,Leptoglossus phyllopus,Eastern Leaf-footed Bug,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Leptoglossus,phyllopus,00570_Animalia_Arthropoda_Insecta_Hemiptera_Coreidae_Leptoglossus_phyllopus
571,Leptoglossus zonatus,Leptoglossus zonatus,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Leptoglossus,zonatus,00571_Animalia_Arthropoda_Insecta_Hemiptera_Coreidae_Leptoglossus_zonatus
572,Thasus gigas,Thasus gigas,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Thasus,gigas,00572_Animalia_Arthropoda_Insecta_Hemiptera_Coreidae_Thasus_gigas
573,Thasus neocalifornicus,Giant Mesquite Bug,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Thasus,neocalifornicus,00573_Animalia_Arthropoda_Insecta_Hemiptera_Coreidae_Thasus_neocalifornicus
574,Sehirus cinctus,White-margined Burrower Bug,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Cydnidae,Sehirus,cinctus,00574_Animalia_Arthropoda_Insecta_Hemiptera_Cydnidae_Sehirus_cinctus
575,Flatormenis proxima,Northern Flatid Planthopper,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Flatidae,Flatormenis,proxima,00575_Animalia_Arthropoda_Insecta_Hemiptera_Flatidae_Flatormenis_proxima
576,Metcalfa pruinosa,Citrus Flatid Planthopper,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Flatidae,Metcalfa,pruinosa,00576_Animalia_Arthropoda_Insecta_Hemiptera_Flatidae_Metcalfa_pruinosa
577,Ormenoides venusta,Ormenoides venusta,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Flatidae,Ormenoides,venusta,00577_Animalia_Arthropoda_Insecta_Hemiptera_Flatidae_Ormenoides_venusta
578,Siphanta acuta,Torpedo Bug,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Flatidae,Siphanta,acuta,00578_Animalia_Arthropoda_Insecta_Hemiptera_Flatidae_Siphanta_acuta
579,Lycorma delicatula,Spotted Lanternfly,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Fulgoridae,Lycorma,delicatula,00579_Animalia_Arthropoda_Insecta_Hemiptera_Fulgoridae_Lycorma_delicatula
580,Pyrops candelaria,Pyrops candelaria,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Fulgoridae,Pyrops,candelaria,00580_Animalia_Arthropoda_Insecta_Hemiptera_Fulgoridae_Pyrops_candelaria
581,Gelastocoris oculatus,Big-eyed Toad Bug,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Gelastocoridae,Gelastocoris,oculatus,00581_Animalia_Arthropoda_Insecta_Hemiptera_Gelastocoridae_Gelastocoris_oculatus
582,Aquarius remigis,Common Water Strider,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Gerridae,Aquarius,remigis,00582_Animalia_Arthropoda_Insecta_Hemiptera_Gerridae_Aquarius_remigis
583,Largus californicus,California Bordered Plant Bug,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Largidae,Largus,californicus,00583_Animalia_Arthropoda_Insecta_Hemiptera_Largidae_Largus_californicus
584,Largus succinctus,Largus Bug,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Largidae,Largus,succinctus,00584_Animalia_Arthropoda_Insecta_Hemiptera_Largidae_Largus_succinctus
585,Stenomacra marginella,Stenomacra marginella,Insects,Animalia,Arthropoda,Insecta,Hemiptera,Largidae,Stenomacra,marginella,00585_Animalia_Arthropoda_Insecta_Hemiptera_Largidae_Stenomacra_marginella
